Unnamed: 0,구분,index,총계,2012년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
0,계,0,77032,7667,2200,3491,4439,6582,8129,9947,9876,11961,11132,1608
1,종로구,1,1772,813,0,0,210,150,1,261,85,9,200,43
2,중 구,2,2333,16,114,87,77,236,240,372,386,155,361,289
3,용산구,3,2383,34,71,234,125,221,298,351,125,307,617,0
4,성동구,4,3602,448,125,212,105,339,310,874,390,262,461,76
5,광진구,5,2588,35,57,100,187,98,52,675,465,712,175,32
6,동대문구,6,2497,1090,146,60,29,111,233,136,197,209,223,63
7,중랑구,7,3296,302,24,253,88,141,161,162,173,1049,939,4
8,성북구,8,3958,83,78,170,230,323,594,460,867,714,251,188
9,강북구,9,2462,0,0,24,65,105,243,6,392,1000,588,39
10,도봉구,10,1629,39,22,96,181,79,159,134,222,198,168,331
11,노원구,11,2415,0,97,193,77,516,331,175,216,320,386,104
12,은평구,12,3791,14,3,44,332,329,555,403,635,1057,288,131
13,서대문구,13,2940,730,253,155,108,137,223,356,237,343,397,1
14,마포구,14,2421,58,93,77,61,162,454,359,343,494,300,20
15,양천구,15,3312,1413,167,181,143,180,350,139,140,274,325,0
16,강서구,16,2560,55,129,106,213,188,168,506,259,457,356,123
17,구로구,17,4075,852,216,349,187,268,326,540,488,434,415,0
18,금천구,18,2374,0,0,178,80,361,133,196,540,369,508,9
19,영등포구,19,3778,572,136,238,123,209,248,311,658,65,1213,5
20,동작구,20,2297,41,24,25,503,128,253,271,300,322,419,11
21,관악구,21,4942,428,205,291,513,529,621,687,663,640,331,34
22,서초구,22,3704,116,75,94,71,563,516,1060,428,358,420,3
23,강남구,23,6502,124,77,75,597,840,1310,999,748,789,942,1
24,송파구,24,2854,72,61,86,85,215,148,241,542,1068,235,101
25,강동구,25,2547,332,27,163,49,154,202,273,377,356,614,0
